"","all_trips_v2$member_casual","all_trips_v2$day_of_week","all_trips_v2$ride_length"
"1","casual","Sunday",3871.97589730155
"2","member","Sunday",910.907932298573
"3","casual","Monday",3632.06409223577
"4","member","Monday",843.202603908776
"5","casual","Tuesday",3872.30172148312
"6","member","Tuesday",837.55015938242
"7","casual","Wednesday",4007.45158091065
"8","member","Wednesday",822.481947801006
"9","casual","Thursday",3928.97264722493
"10","member","Thursday",824.209905033677
"11","casual","Friday",4170.00547811087
"12","member","Friday",823.717526923053
"13","casual","Saturday",3460.45352838742
"14","member","Saturday",991.199634787256
